NetWt,Count
51.8,20
51.3,20.5
53.2,19.5
50.9,19
49.8,20
53.1,22
51.5,20
46.2,18
50.1,20
50,20
46.1,18
46.7,18
52.8,20
49.3,19
48.5,19
49.3,20
51.1,19
51.1,19
50.5,18
51.4,20
47.7,19
52.5,21
51.9,22
50.8,19
48.8,18
51.3,21
52.9,21
52,21
47.4,19
50.6,20
50.7,20
49.3,19
50.8,21
52.4,21
49.2,20
52.2,20
51.1,20
51.8,20
49.4,18
48.6,19
48.2,18
48.5,19
50.6,20
52.1,21
50.4,19
48.8,19
50.5,21
49.4,19
48.7,20
52.1,21
49,19
49.9,20
51.1,20
51.8,20
50.3,20
49.7,19
50.1,19
50.6,20
52.9,21
49.2,19
47.9,19
50.4,20
50.5,20
51.3,21
51.8,20
49.2,19
50.5,20
49.4,19
52.9,20
51.5,20
48.8,19
47.4,19
48.7,18
49.4,19
49.3,19
49.8,20
50.5,20
49.8,19
51.5,20
50.3,20
48.8,18
52.7,20
50.7,19
49.4,18
52.9,21
50.3,20
50.9,20
50,19
51.6,20
47.9,18
48.1,19
47.6,19
48.9,19
49.4,19
50.6,19
44.4,17
51.8,20
48.9,19
52.3,19
50.6,21
48.7,19
53.5,21
49.8,20
47,20
50.5,19
50.9,20
50.7,20
50.8,20
54.6,22
49.7,20
51.5,20
49.2,19
52,20
48.9,18
49,20
50.7,20
49.7,19
50.5,19
51,19
46.4,19
49.1,20
50.4,20
51.6,20
48.3,18
50.1,19
50.9,19
49.7,19
49.6,18
48.1,18
52.6,20
51.8,20
49.1,19
48.1,18
51,20
51,20
49.4,20
46.8,17
51,20
51.1,19
51.3,21
49.8,18
51,20
52.9,20
52.3,19
48.2,19
49.5,20
48.8,18
50,19
51.5,20
46.6,18
52.2,22
52.1,21
50.1,20
49.9,19
49.2,19
48.8,19
52.2,20
51.2,20
52.7,21
50.1,20
47.6,19
50.5,19
50.3,20
52.7,20
47.5,18
50.8,20
47.4,18
50.2,19
50.2,20
48.8,19
50,20
50.7,20
45.6,17
48.5,20
50.6,21
49.9,19
48.8,18
44.1,17
50.5,19
52.3,20
51.5,20
52.1,21
52.9,22
50.8,21
51.9,22
49.7,20
48.3,17
50.6,20
49.8,19
49.6,20
51.1,21
49,19
